boardid,year
112.0,2010
30616.0,2010
18705.0,2010
7584.0,2010
25150.0,2010
17241.0,2010
1520.0,2010
2621.0,2010
2621.0,2010
1677470.0,2010
1677470.0,2010
1677470.0,2010
1677470.0,2010
1677470.0,2010
1703.0,2010
32422.0,2010
9491.0,2010
1648593.0,2010
830856.0,2010
830856.0,2010
29657.0,2010
32067.0,2011
18319.0,2011
28982.0,2011
28982.0,2011
6052.0,2011
3718.0,2011
21105.0,2011
19347.0,2011
27219.0,2011
23506.0,2011
24890.0,2011
29405.0,2011
6052.0,2011
259416.0,2011
1287.0,2011
22688.0,2011
32161.0,2011
33512.0,2011
462965.0,2011
21174.0,2011
21174.0,2011
9940.0,2011
21174.0,2011
29657.0,2011
29657.0,2011
15235.0,2011
733.0,2011
28937.0,2011
28228.0,2011
7058.0,2011
7058.0,2011
1060.0,2011
25921.0,2011
7443.0,2011
233.0,2011
1661731.0,2011
1661731.0,2011
394.0,2011
12645.0,2011
2234.0,2011
12366.0,2011
12366.0,2011
19953.0,2011
4863.0,2011
8468.0,2011
4584.0,2011
31620.0,2011
14722.0,2011
14722.0,2011
14722.0,2011
14722.0,2011
14722.0,2011
28653.0,2011
6495.0,2011
21699.0,2011
21699.0,2011
6495.0,2011
30437.0,2011
19939.0,2011
32237.0,2011
32237.0,2011
107377.0,2011
33148.0,2011
107377.0,2011
14181.0,2011
11099.0,2011
15223.0,2011
19944.0,2011
3466.0,2011
1626063.0,2011
1142586.0,2011
6334.0,2011
26468.0,2011
26468.0,2011
665753.0,2011
23438.0,2011
3286.0,2011
12159.0,2011
8398.0,2011
10995.0,2011
814633.0,2011
33148.0,2011
18868.0,2011
1757.0,2011
32107.0,2011
18384.0,2011
138612.0,2011
2307.0,2011
31723.0,2011
2307.0,2011
9023.0,2011
19706.0,2011
817439.0,2011
3248.0,2011
561710.0,2011
7936.0,2011
9816.0,2011
446.0,2011
446.0,2011
1649258.0,2011
1676064.0,2011
12240.0,2011
12240.0,2011
2257.0,2011
9940.0,2011
17781.0,2011
7204.0,2011
27588.0,2011
42640.0,2011
23746.0,2011
20721.0,2011
25811.0,2011
13610.0,2011
13110.0,2011
33314.0,2011
18384.0,2011
2817.0,2011
18384.0,2011
33314.0,2011
268946.0,2011
12812.0,2011
11985.0,2011
90132.0,2011
233.0,2011
500385.0,2011
500385.0,2011
3466.0,2011
11964.0,2011
11964.0,2011
881.0,2011
22412.0,2011
28037.0,2011
1141059.0,2011
8867.0,2011
5118.0,2011
8366.0,2011
44349.0,2011
5549.0,2011
33830.0,2011
11074.0,2011
44349.0,2011
5455.0,2011
10750.0,2011
1639606.0,2011
17800.0,2011
28982.0,2011
815224.0,2011
10631.0,2011
28982.0,2011
29964.0,2011
32507.0,2011
725.0,2011
16569.0,2011
16530.0,2011
16530.0,2011
31555.0,2011
31723.0,2011
8468.0,2011
1259.0,2011
3143.0,2011
22048.0,2011
1645838.0,2011
1645838.0,2011
12463.0,2011
12463.0,2011
30509.0,2011
12984.0,2011
21903.0,2011
4504.0,2011
1044.0,2011
151.0,2011
1013530.0,2011
1635432.0,2011
28989.0,2011
5006.0,2011
17238.0,2011
3118.0,2011
33097.0,2011
32998.0,2011
550072.0,2011
33760.0,2011
1221.0,2011
27242.0,2011
15553.0,2011
15484.0,2011
550890.0,2011
23317.0,2011
27242.0,2011
4584.0,2011
20589.0,2011
10928.0,2011
21196.0,2011
15984.0,2011
21196.0,2011
7483.0,2011
